iteration,bal_acc,std,std_ema,alpha_max,lambda_max,rolled_back,elapsed_s,omega_mode,plane,car,bird,cat,deer,dog,frog,horse,ship,truck,d_plane,d_car,d_bird,d_cat,d_deer,d_dog,d_frog,d_horse,d_ship,d_truck
1,0.8499397105745811,0.07304391042231094,0.08609092426286713,0.0199991828339793,556.119873046875,False,94.8,linear,0.8607068607068608,0.9132231404958677,0.8133333333333334,0.6958250497017893,0.8700787401574803,0.7407407407407407,0.882466281310212,0.8910505836575876,0.9290187891440501,0.9029535864978903,-0.022869022869022815,-0.0020661157024793875,0.007619047619047636,0.05765407554671964,-0.003937007874015741,0.033138401559454134,0.015414258188824692,-0.009727626459143934,-0.0020876826722338038,0.006329113924050556
2,0.8495596697590745,0.06431881380712103,0.0795592911261433,0.0199982249512188,369.6036376953125,False,118.9,linear,0.8773388773388774,0.9111570247933884,0.8076190476190476,0.7157057654075547,0.8484251968503937,0.7582846003898636,0.8728323699421965,0.8910505836575876,0.9102296450939458,0.9029535864978903,0.016632016632016633,-0.0020661157024792765,-0.005714285714285783,0.01988071570576544,-0.021653543307086576,0.01754385964912286,-0.009633911368015502,0.0,-0.018789144050104345,0.0
3,0.8501785415449479,0.06365707603430035,0.07478862659859041,0.019988232514789442,513.7753295898438,False,105.4,linear,0.8814968814968815,0.9152892561983471,0.8171428571428572,0.7176938369781312,0.8287401574803149,0.7641325536062378,0.8689788053949904,0.8929961089494164,0.9081419624217119,0.9071729957805907,0.004158004158004158,0.004132231404958664,0.009523809523809601,0.001988071570576455,-0.019685039370078816,0.005847953216374213,-0.0038535645472060898,0.0019455252918287869,-0.002087682672233915,0.0042194092827004814
4,0.849781743993803,0.06800682249815218,0.07275408536845894,0.019833400357491482,376.5374755859375,False,102.4,linear,0.8711018711018711,0.9090909090909091,0.8133333333333334,0.6998011928429424,0.8622047244094488,0.7602339181286549,0.859344894026975,0.896887159533074,0.9123173277661796,0.9135021097046413,-0.010395010395010451,-0.006198347107438051,-0.003809523809523818,-0.017892644135188762,0.03346456692913391,-0.003898635477582846,-0.009633911368015391,0.0038910505836575737,0.0041753653444677186,0.006329113924050556
5,0.8503543386425214,0.06131559611681887,0.06932253859296691,0.019920603541316716,513.7415161132812,False,99.9,linear,0.8669438669438669,0.9132231404958677,0.8095238095238095,0.7117296222664016,0.8405511811023622,0.783625730994152,0.8901734104046243,0.8871595330739299,0.9018789144050104,0.8987341772151899,-0.004158004158004158,0.004132231404958664,-0.003809523809523818,0.011928429423459175,-0.021653543307086687,0.023391812865497075,0.030828516377649273,-0.009727626459144045,-0.01043841336116913,-0.014767932489451407
6,0.8503543386425214,0.06131559611681887,0.06692045585012249,0.0046386478848847315,423.060791015625,True,96.7,linear,0.8669438669438669,0.9132231404958677,0.8095238095238095,0.7117296222664016,0.8405511811023622,0.783625730994152,0.8901734104046243,0.8871595330739299,0.9018789144050104,0.8987341772151899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.852363151744678,0.05971823585353825,0.06475978985114722,0.005753062670112318,423.0579528808594,False,95.9,linear,0.8669438669438669,0.9132231404958677,0.819047619047619,0.7196819085487077,0.844488188976378,0.7797270955165692,0.8863198458574181,0.8852140077821011,0.9081419624217119,0.9008438818565401,0.0,0.0,0.00952380952380949,0.007952286282306154,0.003937007874015852,-0.003898635477582846,-0.003853564547206201,-0.0019455252918287869,0.006263048016701411,0.002109704641350185
8,0.8522271494767872,0.06429076717861384,0.06461908304938721,0.004700704513879625,383.00994873046875,False,110.3,linear,0.8690228690228691,0.9132231404958677,0.8133333333333334,0.7017892644135189,0.844488188976378,0.7875243664717348,0.884393063583815,0.8910505836575876,0.906054279749478,0.9113924050632911,0.0020790020790021346,0.0,-0.005714285714285672,-0.017892644135188873,0.0,0.007797270955165692,-0.0019267822736031004,0.005836575875486472,-0.0020876826722338038,0.010548523206751037
9,0.8524237674277766,0.059561208100411434,0.06310172056469447,0.007000113432687675,409.6075439453125,False,101.4,linear,0.8731808731808732,0.9111570247933884,0.819047619047619,0.7196819085487077,0.8503937007874016,0.7777777777777778,0.8786127167630058,0.8832684824902723,0.906054279749478,0.9050632911392406,0.004158004158004158,-0.0020661157024792765,0.005714285714285672,0.017892644135188873,0.0059055118110236116,-0.009746588693957059,-0.00578034682080919,-0.0077821011673152585,0.0,-0.006329113924050556
10,0.852968565322245,0.06217783726082505,0.06282455557353364,0.0062799545704183765,390.8121643066406,False,4111.9,linear,0.8711018711018711,0.9132231404958677,0.819047619047619,0.7196819085487077,0.8523622047244095,0.7719298245614035,0.861271676300578,0.8910505836575876,0.9144050104384134,0.9156118143459916,-0.0020790020790021346,0.0020661157024792765,0.0,0.0,0.0019685039370078705,-0.005847953216374324,-0.017341040462427793,0.0077821011673152585,0.008350730688935326,0.010548523206751037
11,0.8536608628322362,0.06250207256196776,0.06272781067006387,0.006686878719005256,426.23895263671875,False,85.6,linear,0.8711018711018711,0.9152892561983471,0.8114285714285714,0.7117296222664016,0.8622047244094488,0.7816764132553606,0.8805394990366089,0.8852140077821011,0.9081419624217119,0.9092827004219409,0.0,0.0020661157024793875,-0.007619047619047636,-0.007952286282306154,0.009842519685039353,0.00974658869395717,0.019267822736030893,-0.005836575875486472,-0.006263048016701522,-0.006329113924050667
12,0.8530584684698624,0.05997785169560757,0.06190282297772698,0.008230178771486626,416.012451171875,False,85.8,linear,0.8752598752598753,0.9152892561983471,0.8171428571428572,0.7236580516898609,0.844488188976378,0.7758284600389863,0.882466281310212,0.8832684824902723,0.9102296450939458,0.9029535864978903,0.004158004158004158,0.0,0.005714285714285783,0.011928429423459286,-0.017716535433070835,-0.005847953216374324,0.0019267822736031004,-0.0019455252918287869,0.002087682672233915,-0.006329113924050667
13,0.8524744164938045,0.05972028172102487,0.061248060600716345,0.008615954337542472,394.8638916015625,False,86.8,linear,0.8669438669438669,0.9152892561983471,0.8171428571428572,0.7176938369781312,0.8582677165354331,0.783625730994152,0.8689788053949904,0.8793774319066148,0.9081419624217119,0.9092827004219409,-0.008316008316008316,0.0,0.0,-0.005964214711729698,0.013779527559055094,0.007797270955165692,-0.013487475915221592,-0.0038910505836575737,-0.002087682672233915,0.006329113924050667
14,0.8513114852385497,0.057483669319218895,0.060118743216267104,0.010004791879907774,400.9025573730469,False,91.1,linear,0.8794178794178794,0.9132231404958677,0.8285714285714286,0.7296222664015904,0.8405511811023622,0.7719298245614035,0.861271676300578,0.877431906614786,0.9081419624217119,0.9029535864978903,0.012474012474012475,-0.0020661157024793875,0.011428571428571455,0.011928429423459286,-0.017716535433070946,-0.011695906432748537,-0.007707129094412402,-0.0019455252918287869,0.0,-0.006329113924050667
15,0.8510702587066111,0.058783180059585334,0.05971807426926257,0.009410091843472386,359.78753662109375,False,107.9,linear,0.8648648648648649,0.9132231404958677,0.8228571428571428,0.7137176938369781,0.8484251968503937,0.7933723196881092,0.8574181117533719,0.8793774319066148,0.906054279749478,0.9113924050632911,-0.014553014553014498,0.0,-0.005714285714285783,-0.015904572564612307,0.007874015748031593,0.021442495126705707,-0.0038535645472060898,0.0019455252918287869,-0.0020876826722338038,0.008438818565400852
