classe,baseline,ss,ss_classic_ft
avion,0.8921001926782274,0.859344894026975,0.884393063583815
auto,0.9069767441860465,0.9244186046511628,0.9186046511627907
oiseau,0.8168421052631579,0.8315789473684211,0.8189473684210526
chat,0.6861167002012073,0.7605633802816901,0.6921529175050302
cerf,0.8516260162601627,0.8170731707317073,0.8495934959349594
chien,0.6899383983572895,0.7494866529774127,0.6817248459958932
grenouille,0.9064449064449065,0.8918918918918919,0.920997920997921
cheval,0.9053497942386831,0.8395061728395061,0.8909465020576132
bateau,0.9309021113243762,0.9001919385796545,0.927063339731286
camion,0.8954372623574145,0.8840304182509505,0.8935361216730038
GLOBAL,0.849399983882904,0.8468000292778015,0.8489999771118164
Std,0.08568796739901896,0.05524263049920615,0.08636494598110882
