method,tau,elapsed_s,global,std,avion,auto,oiseau,chat,cerf,chien,grenouille,cheval,bateau,camion
Baseline,,5.11,0.8494,0.08568796739901896,0.8921001926782274,0.9069767441860465,0.8168421052631579,0.6861167002012073,0.8516260162601627,0.6899383983572895,0.9064449064449065,0.9053497942386831,0.9309021113243762,0.8954372623574145
tau-norm,0.25,4.52,0.8502,0.08528892341971775,0.8940269749518305,0.9089147286821705,0.8210526315789474,0.6921529175050302,0.8516260162601627,0.6858316221765913,0.9064449064449065,0.9032921810699589,0.9309021113243762,0.8954372623574145
tau-norm,0.5,4.86,0.85,0.08427636651974899,0.8921001926782274,0.9108527131782945,0.8210526315789474,0.6961770623742455,0.8495934959349594,0.6858316221765913,0.9064449064449065,0.9012345679012346,0.9289827255278311,0.8954372623574145
tau-norm,0.75,5.06,0.8498,0.0832708702084837,0.8921001926782274,0.9127906976744186,0.8210526315789474,0.704225352112676,0.8495934959349594,0.6817248459958932,0.9002079002079002,0.8991769547325102,0.9289827255278311,0.8954372623574145
tau-norm,1.0,5.25,0.8498,0.08167451321081322,0.8959537572254336,0.9147286821705426,0.8189473684210526,0.710261569416499,0.8434959349593496,0.6837782340862423,0.9002079002079002,0.8991769547325102,0.9213051823416507,0.8973384030418251
tau-norm,1.25,5.76,0.8502,0.08031479503395561,0.8978805394990366,0.9147286821705426,0.8189473684210526,0.7122736418511066,0.8434959349593496,0.6878850102669405,0.896049896049896,0.8991769547325102,0.9193857965451055,0.8992395437262357
tau-norm,1.5,5.36,0.8492,0.07989462603939762,0.9017341040462428,0.9147286821705426,0.8189473684210526,0.7223340040241448,0.8373983739837398,0.6796714579055442,0.893970893970894,0.897119341563786,0.9117082533589251,0.9011406844106464
tau-norm,2.0,5.21,0.8468,0.07904565980810704,0.905587668593449,0.9166666666666666,0.8126315789473684,0.7484909456740443,0.8292682926829268,0.6632443531827515,0.8856548856548857,0.8909465020576132,0.8944337811900192,0.9068441064638784
logit-adj,0.5,0.001,0.8494,0.08568796739901896,0.8921001926782274,0.9069767441860465,0.8168421052631579,0.6861167002012073,0.8516260162601627,0.6899383983572895,0.9064449064449065,0.9053497942386831,0.9309021113243762,0.8954372623574145
logit-adj,1.0,0.001,0.8494,0.08568796739901896,0.8921001926782274,0.9069767441860465,0.8168421052631579,0.6861167002012073,0.8516260162601627,0.6899383983572895,0.9064449064449065,0.9053497942386831,0.9309021113243762,0.8954372623574145
logit-adj,2.0,0.001,0.8494,0.08568796739901896,0.8921001926782274,0.9069767441860465,0.8168421052631579,0.6861167002012073,0.8516260162601627,0.6899383983572895,0.9064449064449065,0.9053497942386831,0.9309021113243762,0.8954372623574145
