iteration,acc_global,std,alpha_max,lambda_max,alpha_norm,rolled_back,lin_err_rel,elapsed_s,avion,auto,oiseau,chat,cerf,chien,grenouille,cheval,bateau,camion,d_avion,d_auto,d_oiseau,d_chat,d_cerf,d_chien,d_grenouille,d_cheval,d_bateau,d_camion
1,0.8446000218391418,0.0768060030508426,0.019999182820811576,502.0923156738281,0.021797554650049913,False,0.4148747848737922,121.09995794296265,0.8877338877338877,0.9318181818181818,0.7980952380952381,0.6958250497017893,0.8464566929133859,0.7290448343079922,0.9171483622350675,0.8521400778210116,0.8872651356993737,0.9135021097046413,0.0,0.004132231404958664,0.00952380952380949,0.015904572564612307,0.003937007874015852,0.003898635477582846,-0.009633911368015391,0.0,0.0,0.002109704641350185
2,0.8446000218391418,0.07268412139077385,0.019999140862785973,445.18707275390625,0.021994101451704703,False,0.6097894835009363,130.54478311538696,0.8794178794178794,0.9276859504132231,0.8,0.705765407554672,0.8562992125984252,0.7309941520467836,0.9094412331406551,0.8501945525291829,0.8893528183716075,0.9092827004219409,-0.008316008316008316,-0.004132231404958664,0.0019047619047619646,0.00994035785288272,0.009842519685039353,0.0019493177387914784,-0.007707129094412402,-0.0019455252918287869,0.0020876826722338038,-0.00421940928270037
3,0.8468000292778015,0.06920419515316191,0.0199990334418724,418.9179382324219,0.02148178511787676,False,0.3739631775980265,137.2425000667572,0.8856548856548857,0.9276859504132231,0.8152380952380952,0.7157057654075547,0.8582677165354331,0.732943469785575,0.9036608863198459,0.8482490272373541,0.8810020876826722,0.9113924050632911,0.006237006237006293,0.0,0.015238095238095162,0.00994035785288272,0.0019685039370078705,0.0019493177387913674,-0.00578034682080919,-0.0019455252918287869,-0.008350730688935326,0.002109704641350185
4,0.8465999960899353,0.06762019127196214,0.01999803768806479,398.3310546875,0.02220494273762493,False,0.5143841027678266,140.9817669391632,0.8898128898128899,0.9276859504132231,0.8228571428571428,0.7236580516898609,0.8641732283464567,0.7270955165692008,0.8901734104046243,0.8424124513618677,0.8810020876826722,0.9092827004219409,0.004158004158004158,0.0,0.007619047619047636,0.007952286282306154,0.0059055118110236116,-0.005847953216374213,-0.013487475915221592,-0.005836575875486361,0.0,-0.002109704641350185
5,0.8468000292778015,0.06576966086899776,0.01999733299719989,404.0939636230469,0.02144702152498859,False,0.8846794846210765,137.9308762550354,0.8918918918918919,0.9256198347107438,0.820952380952381,0.7236580516898609,0.8641732283464567,0.7348927875243665,0.8863198458574181,0.8463035019455253,0.8768267223382046,0.9092827004219409,0.0020790020790020236,-0.0020661157024792765,-0.0019047619047618536,0.0,0.0,0.007797270955165692,-0.003853564547206201,0.0038910505836575737,-0.0041753653444676075,0.0
6,0.8446000218391418,0.06344035084746975,0.019997298460830808,401.39141845703125,0.02153989844472741,False,1.1178780914091064,123.5347089767456,0.8877338877338877,0.9235537190082644,0.8133333333333334,0.7276341948310139,0.8622047244094488,0.7387914230019493,0.882466281310212,0.8424124513618677,0.8747390396659708,0.9050632911392406,-0.004158004158004158,-0.0020661157024793875,-0.007619047619047636,0.003976143141153021,-0.0019685039370078705,0.003898635477582846,-0.0038535645472060898,-0.0038910505836575737,-0.0020876826722338038,-0.00421940928270037
7,0.8460000157356262,0.05944276493319135,0.019998085555142812,386.50140380859375,0.022144128887390046,False,0.644767909690723,122.7116539478302,0.893970893970894,0.9194214876033058,0.8171428571428572,0.7335984095427436,0.8523622047244095,0.7524366471734892,0.8747591522157996,0.8463035019455253,0.8747390396659708,0.9071729957805907,0.006237006237006293,-0.004132231404958664,0.003809523809523818,0.005964214711729698,-0.009842519685039353,0.013645224171539905,-0.007707129094412402,0.0038910505836575737,0.0,0.002109704641350185
8,0.8450000286102295,0.05983355011635261,0.01999434364455978,365.09765625,0.02115945066820516,False,0.7443890135801771,122.06210899353027,0.8877338877338877,0.9194214876033058,0.8114285714285714,0.7335984095427436,0.8641732283464567,0.7504873294346979,0.8631984585741811,0.8443579766536965,0.8789144050104384,0.9092827004219409,-0.006237006237006293,0.0,-0.005714285714285783,0.0,0.011811023622047223,-0.0019493177387913674,-0.011560693641618491,-0.0019455252918287869,0.0041753653444676075,0.002109704641350185
9,0.8447999954223633,0.05577231083319869,0.019996509649150528,388.50030517578125,0.020854251909130296,False,0.377760702256211,125.94423127174377,0.8794178794178794,0.9173553719008265,0.8076190476190476,0.7415506958250497,0.8543307086614174,0.7641325536062378,0.861271676300578,0.8443579766536965,0.8768267223382046,0.9135021097046413,-0.008316008316008316,-0.0020661157024792765,-0.003809523809523818,0.007952286282306154,-0.009842519685039353,0.013645224171539905,-0.0019267822736031004,0.0,-0.0020876826722338038,0.00421940928270037
10,0.8450000286102295,0.0540791562739019,0.019995738323039892,378.42822265625,0.021402256892802368,False,0.605333916215891,129.81771802902222,0.8794178794178794,0.9152892561983471,0.8114285714285714,0.7634194831013916,0.8562992125984252,0.7446393762183235,0.8516377649325626,0.8521400778210116,0.8830897703549061,0.9050632911392406,0.0,-0.0020661157024793875,0.003809523809523818,0.021868787276341894,0.0019685039370078705,-0.01949317738791423,-0.009633911368015391,0.0077821011673151474,0.006263048016701522,-0.00843881856540074
11,0.8460000157356262,0.051987510540233164,0.019995618364877704,355.19744873046875,0.021433521800601214,False,0.5141099941853275,126.96946382522583,0.8773388773388774,0.9173553719008265,0.8019047619047619,0.7614314115308151,0.8523622047244095,0.7680311890838206,0.861271676300578,0.8424124513618677,0.8768267223382046,0.9135021097046413,-0.0020790020790020236,0.0020661157024793875,-0.00952380952380949,-0.001988071570576566,-0.003937007874015741,0.023391812865497075,0.009633911368015391,-0.009727626459143934,-0.006263048016701522,0.00843881856540074
12,0.8456000089645386,0.051288975764119143,0.019992604611253212,353.4104919433594,0.021021229195839215,False,1.2064079194173103,145.02041602134705,0.8814968814968815,0.9173553719008265,0.8095238095238095,0.7713717693836978,0.844488188976378,0.7563352826510721,0.8631984585741811,0.8404669260700389,0.8768267223382046,0.9071729957805907,0.004158004158004158,0.0,0.007619047619047636,0.00994035785288272,-0.007874015748031482,-0.011695906432748537,0.0019267822736031004,-0.0019455252918287869,0.0,-0.006329113924050556
13,0.8468000292778015,0.0520530545196505,0.019984067568317124,377.3435363769531,0.020860511643171566,False,0.6408175795126144,108.38413691520691,0.8773388773388774,0.9173553719008265,0.8076190476190476,0.7634194831013916,0.8523622047244095,0.7641325536062378,0.861271676300578,0.8424124513618677,0.8810020876826722,0.9135021097046413,-0.004158004158004158,0.0,-0.0019047619047619646,-0.007952286282306154,0.007874015748031482,0.007797270955165692,-0.0019267822736031004,0.0019455252918287869,0.0041753653444676075,0.006329113924050556
14,0.843999981880188,0.04999532660297068,0.0199864313846342,363.2292175292969,0.020837222413330664,False,1.1796778389830571,73.13944101333618,0.8752598752598753,0.9173553719008265,0.8152380952380952,0.7634194831013916,0.8523622047244095,0.7680311890838206,0.8439306358381503,0.8326848249027238,0.872651356993737,0.9113924050632911,-0.0020790020790021346,0.0,0.007619047619047636,0.0,0.0,0.003898635477582846,-0.01734104046242768,-0.009727626459143934,-0.008350730688935215,-0.002109704641350185
15,0.8456000089645386,0.05454233545538633,0.019973151962384916,395.6544494628906,0.02114833523918456,False,0.42318601714368337,71.41263794898987,0.8752598752598753,0.9214876033057852,0.8076190476190476,0.7435387673956262,0.8641732283464567,0.7719298245614035,0.8574181117533719,0.8385214007782101,0.8768267223382046,0.9113924050632911,0.0,0.004132231404958664,-0.007619047619047636,-0.01988071570576544,0.011811023622047223,0.003898635477582846,0.013487475915221592,0.005836575875486361,0.0041753653444676075,0.0
