iteration,bal_acc,std,std_ema,alpha_max,lambda_max,rolled_back,elapsed_s,omega_mode,MEL,NV,BCC,AK,BKL,DF,VASC,SCC,d_MEL,d_NV,d_BCC,d_AK,d_BKL,d_DF,d_VASC,d_SCC
1,0.6909567533508993,0.12696265552769748,0.13170487827327254,0.009999591413150852,11943.859375,False,412.4,square,0.668,0.924,0.856,0.56,0.716,0.6354679802955665,0.5441860465116279,0.624,-0.01200000000000001,0.0040000000000000036,0.008000000000000007,0.02400000000000002,-0.0040000000000000036,0.014778325123152691,0.027906976744186074,0.01200000000000001
2,0.709857028296483,0.10772117972117934,0.12450976870764457,0.009999129598139107,11551.57421875,False,381.8,square,0.652,0.908,0.844,0.576,0.724,0.6995073891625616,0.5953488372093023,0.68,-0.016000000000000014,-0.016000000000000014,-0.01200000000000001,0.015999999999999903,0.008000000000000007,0.0640394088669951,0.051162790697674376,0.05600000000000005
3,0.703892943063352,0.1058651456595753,0.1189163817932238,0.009995906486800196,12104.29296875,False,402.5,square,0.648,0.904,0.812,0.612,0.748,0.6896551724137931,0.5534883720930233,0.664,-0.0040000000000000036,-0.0040000000000000036,-0.03199999999999992,0.03600000000000003,0.02400000000000002,-0.009852216748768461,-0.041860465116279055,-0.016000000000000014
4,0.703892943063352,0.1058651456595753,0.11500101095312924,0.0021333827898586317,9438.11328125,True,466.6,square,0.648,0.904,0.812,0.612,0.748,0.6896551724137931,0.5534883720930233,0.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.7049273112613128,0.10469797314136424,0.11191009960959974,0.002664580192310034,9444.298828125,False,440.9,square,0.66,0.904,0.804,0.608,0.744,0.6945812807881774,0.5488372093023256,0.676,0.01200000000000001,0.0,-0.008000000000000007,-0.0040000000000000036,-0.0040000000000000036,0.0049261083743842304,-0.0046511627906976605,0.01200000000000001
6,0.7107058655057853,0.10574953296505646,0.11006192961623676,0.002765410504755839,9261.228515625,False,433.4,square,0.676,0.92,0.804,0.608,0.74,0.6995073891625616,0.5581395348837209,0.68,0.016000000000000014,0.016000000000000014,0.0,0.0,-0.0040000000000000036,0.0049261083743842304,0.009302325581395321,0.0040000000000000036
7,0.7098686562034597,0.10202498469755474,0.10765084614063215,0.0038427813151802495,7981.23486328125,False,368.7,square,0.672,0.92,0.796,0.628,0.736,0.6995073891625616,0.5674418604651162,0.66,-0.0040000000000000036,0.0,-0.008000000000000007,0.020000000000000018,-0.0040000000000000036,0.0,0.009302325581395321,-0.020000000000000018
8,0.7175632374842479,0.10262348674662954,0.10614263832243137,0.003882128237887851,7775.560546875,False,345.6,square,0.676,0.916,0.812,0.612,0.728,0.729064039408867,0.5674418604651162,0.7,0.0040000000000000036,-0.0040000000000000036,0.016000000000000014,-0.016000000000000014,-0.008000000000000007,0.029556650246305383,0.0,0.039999999999999925
9,0.7172260281819223,0.1000192641973923,0.10430562608491964,0.004696848404356763,7896.048828125,False,339.1,square,0.684,0.908,0.812,0.604,0.732,0.729064039408867,0.5767441860465117,0.692,0.008000000000000007,-0.008000000000000007,0.0,-0.008000000000000007,0.0040000000000000036,0.0,0.009302325581395432,-0.008000000000000007
10,0.7213074235307595,0.1039228868464823,0.10419080431338844,0.0038414089405665068,8701.64453125,False,324.0,square,0.672,0.924,0.82,0.608,0.736,0.729064039408867,0.5813953488372093,0.7,-0.01200000000000001,0.016000000000000014,0.007999999999999896,0.0040000000000000036,0.0040000000000000036,0.0,0.0046511627906976605,0.008000000000000007
