model,class,n,acc_tta,boot_mean,ci_lo,ci_hi
Baseline v3,MEL,339,0.46017699115044247,0.46091297935103237,0.40707964601769914,0.5162241887905604
Baseline v3,NV,965,0.8735751295336788,0.8737870466321243,0.8538860103626943,0.894300518134715
Baseline v3,BCC,250,0.736,0.7367639999999999,0.68,0.792
Baseline v3,AK,65,0.2,0.19902307692307694,0.1076923076923077,0.2923076923076923
Baseline v3,BKL,197,0.34517766497461927,0.34617258883248736,0.2841370558375635,0.41116751269035534
Baseline v3,DF,18,0.3888888888888889,0.3908888888888889,0.16666666666666666,0.6111111111111112
Baseline v3,VASC,19,0.10526315789473684,0.10439473684210525,0.0,0.2631578947368421
Baseline v3,SCC,47,0.2127659574468085,0.21306382978723404,0.10638297872340426,0.3404255319148936
SS seul (v5),MEL,339,0.5398230088495575,0.5406253687315634,0.48672566371681414,0.5929203539823009
SS seul (v5),NV,965,0.8746113989637305,0.8749984455958549,0.8538860103626943,0.8963730569948186
SS seul (v5),BCC,250,0.752,0.7526759999999999,0.7,0.808
SS seul (v5),AK,65,0.4,0.3991,0.2923076923076923,0.5230769230769231
SS seul (v5),BKL,197,0.5228426395939086,0.5246091370558377,0.4517766497461929,0.5939086294416244
SS seul (v5),DF,18,0.5,0.5021666666666667,0.2777777777777778,0.7222222222222222
SS seul (v5),VASC,19,0.3157894736842105,0.3154473684210526,0.10526315789473684,0.5263157894736842
SS seul (v5),SCC,47,0.3191489361702128,0.3166489361702128,0.19148936170212766,0.44680851063829785
FL seul (v2),MEL,339,0.5073746312684366,0.507783185840708,0.45722713864306785,0.56047197640118
FL seul (v2),NV,965,0.917098445595855,0.9172637305699481,0.8994818652849741,0.9347150259067357
FL seul (v2),BCC,250,0.844,0.844172,0.796,0.888
FL seul (v2),AK,65,0.4,0.39880769230769236,0.2923076923076923,0.5076923076923077
FL seul (v2),BKL,197,0.43147208121827413,0.4320025380710659,0.3653553299492386,0.5025380710659898
FL seul (v2),DF,18,0.2777777777777778,0.28413888888888894,0.1111111111111111,0.5
FL seul (v2),VASC,19,0.3157894736842105,0.3175,0.10526315789473684,0.5263157894736842
FL seul (v2),SCC,47,0.3829787234042553,0.38202127659574464,0.2553191489361702,0.5319148936170213
FL+SS (v6),MEL,339,0.5988200589970502,0.5990825958702064,0.5457227138643068,0.6519174041297935
FL+SS (v6),NV,965,0.8601036269430051,0.8603487046632124,0.8393782383419689,0.8818652849740932
FL+SS (v6),BCC,250,0.692,0.692538,0.636,0.7480999999999994
FL+SS (v6),AK,65,0.5076923076923077,0.5066538461538461,0.38461538461538464,0.6307692307692307
FL+SS (v6),BKL,197,0.5380710659898477,0.5380304568527918,0.467005076142132,0.6091370558375635
FL+SS (v6),DF,18,0.4444444444444444,0.44675,0.2222222222222222,0.6666666666666666
FL+SS (v6),VASC,19,0.3157894736842105,0.3117368421052632,0.10526315789473684,0.5263157894736842
FL+SS (v6),SCC,47,0.425531914893617,0.42548936170212764,0.2978723404255319,0.574468085106383
