step,loss,acc,lambda_max,true_displacement,proj_norm,n_walls_so_far,step_time
1,0.529532790184021,0.8497999906539917,645.4200449309566,0.10000000000000002,1.0,0,24.831471920013428
2,0.5295382738113403,0.8496000170707703,645.0063189158026,0.1999999978584959,0.9999999571699176,0,27.24194097518921
3,0.5295061469078064,0.8496999740600586,642.9481813278342,0.29999998795313715,0.99999984341587,0,23.392842054367065
4,0.529500424861908,0.8496999740600586,644.5645308230975,0.39999997809912313,0.9999998991664997,0,24.667075634002686
5,0.5294926762580872,0.8496999740600586,643.4880764979965,0.49999996409938297,0.9999998982148771,0,24.849540948867798
6,0.5294736623764038,0.8497999906539917,643.0762518224548,0.599999952989747,0.9999999672026505,0,25.28327703475952
7,0.529465913772583,0.8497999906539917,648.5976744879088,0.699999936706296,0.9999998770958177,0,172.02115893363953
8,0.5294607877731323,0.8496999740600586,648.4641696658894,0.7999999212480126,0.9999999585946125,0,22.53719687461853
9,0.5294504165649414,0.8496999740600586,650.3000304343883,0.8999999019730562,0.9999999098727776,0,20.733033895492554
10,0.5294433832168579,0.8496000170707703,636.3733846088576,0.9999998856592053,0.9999999925622086,0,21.53932499885559
11,0.52943354845047,0.8495000004768372,638.3473975383486,1.0999998666838544,0.9999999330511538,0,21.438918828964233
12,0.5294201970100403,0.8495000004768372,636.9250412611852,1.1999998458245953,0.9999999360550191,0,21.602241039276123
13,0.5294052958488464,0.8495000004768372,637.3282032895994,1.2999998042509593,0.9999997402741841,0,21.925198078155518
14,0.5293825268745422,0.8495000004768372,639.3368292590657,1.3999997629407344,0.9999999389204225,0,22.298357009887695
15,0.5293576717376709,0.8495000004768372,635.5570319826139,1.4999997268916896,0.9999999959363325,0,23.579850912094116
16,0.5293304920196533,0.8496000170707703,642.9358155922382,1.5999996926109086,0.9999999764465608,0,24.65140414237976
17,0.5293050408363342,0.8496000170707703,642.021093543348,1.6999996604771015,0.9999999742193721,0,25.1551570892334
18,0.5292894244194031,0.8496000170707703,664.446681180274,1.799999613118559,0.9999998344110842,0,25.20946717262268
19,0.5292789340019226,0.8496999740600586,657.7940511192262,1.899999568212601,0.9999999370505922,0,25.155899047851562
20,0.5292651057243347,0.8496000170707703,658.22465346983,1.9999995257102714,0.999999975934196,0,25.130735158920288
