iteration,acc_global,std,std_ema,alpha_max,lambda_max,alpha_norm,rolled_back,elapsed_s,avion,auto,oiseau,chat,cerf,chien,grenouille,cheval,bateau,camion,d_avion,d_auto,d_oiseau,d_chat,d_cerf,d_chien,d_grenouille,d_cheval,d_bateau,d_camion
1,0.848800003528595,0.07053796662661502,0.08533914112415836,0.02,556.0569229403178,0.020000022235772075,False,69.23069071769714,0.8669438669438669,0.9194214876033058,0.7904761904761904,0.7037773359840954,0.8700787401574803,0.7543859649122807,0.8921001926782274,0.8852140077821011,0.9206680584551148,0.8966244725738397,-0.016632016632016633,0.004132231404958664,-0.015238095238095273,0.0656063618290258,-0.003937007874015741,0.04678362573099415,0.025048169556840083,-0.015564202334630406,-0.01043841336116913,0.0
2,0.8464000225067139,0.059727391026458396,0.07765561609484836,0.02,416.6010462269586,0.02000004802511886,False,70.8872492313385,0.8544698544698545,0.9194214876033058,0.7790476190476191,0.731610337972167,0.8346456692913385,0.7953216374269005,0.8651252408477842,0.8715953307392996,0.9123173277661796,0.9135021097046413,-0.012474012474012475,0.0,-0.011428571428571344,0.027833001988071593,-0.03543307086614178,0.040935672514619825,-0.026974951830443183,-0.013618677042801508,-0.008350730688935215,0.016877637130801593
3,0.8497999906539917,0.06217818351427483,0.0730123863206763,0.02,488.8902864414212,0.020000037065960027,False,69.28666281700134,0.8669438669438669,0.9070247933884298,0.820952380952381,0.7514910536779325,0.8759842519685039,0.732943469785575,0.8420038535645472,0.8813229571984436,0.9311064718162839,0.9008438818565401,0.012474012474012475,-0.012396694214875992,0.04190476190476189,0.01988071570576544,0.04133858267716539,-0.06237816764132553,-0.023121387283236983,0.009727626459143934,0.018789144050104345,-0.012658227848101222
4,0.843999981880188,0.05796271622878894,0.06849748529311009,0.02,349.9128569652865,0.020000250903793645,False,70.30212593078613,0.8648648648648649,0.9028925619834711,0.7828571428571428,0.731610337972167,0.8366141732283464,0.7758284600389863,0.8901734104046243,0.8715953307392996,0.9039665970772442,0.890295358649789,-0.0020790020790020236,-0.004132231404958664,-0.03809523809523818,-0.01988071570576544,-0.03937007874015752,0.042884990253411304,0.048169556840077066,-0.009727626459143934,-0.02713987473903967,-0.010548523206751037
5,0.850600004196167,0.06124269594076708,0.06632104848740719,0.02,509.4951213012785,0.020000072194603608,False,70.58971905708313,0.8711018711018711,0.9111570247933884,0.8171428571428572,0.7554671968190855,0.8641732283464567,0.7348927875243665,0.861271676300578,0.8715953307392996,0.9331941544885177,0.8987341772151899,0.006237006237006182,0.008264462809917328,0.034285714285714364,0.02385685884691846,0.0275590551181103,-0.040935672514619825,-0.028901734104046284,0.0,0.029227557411273475,0.008438818565400852
6,0.8443999886512756,0.0661515153322316,0.06627018854085451,0.013999999999999999,360.12643455569685,0.02000002016128211,False,71.01068782806396,0.8690228690228691,0.9173553719008265,0.8038095238095239,0.7176938369781312,0.8169291338582677,0.7660818713450293,0.8400770712909441,0.8891050583657587,0.9144050104384134,0.9240506329113924,-0.0020790020790020236,0.006198347107438051,-0.013333333333333308,-0.03777335984095431,-0.047244094488189003,0.031189083820662766,-0.021194605009633882,0.017509727626459082,-0.018789144050104345,0.025316455696202556
7,0.8482000231742859,0.05524704956611781,0.0629632468484335,0.013999999999999999,411.536630267085,0.014000339856040076,False,71.18359923362732,0.8648648648648649,0.9132231404958677,0.8171428571428572,0.7634194831013916,0.8366141732283464,0.7524366471734892,0.8554913294797688,0.867704280155642,0.9164926931106472,0.9071729957805907,-0.004158004158004158,-0.004132231404958775,0.013333333333333308,0.045725646123260466,0.019685039370078705,-0.013645224171540016,0.015414258188824692,-0.021400778210116655,0.0020876826722338038,-0.016877637130801704
8,0.8471999764442444,0.052381461743707246,0.05978871131701562,0.013999999999999999,367.2843879536836,0.01400047424307949,False,72.98068284988403,0.8648648648648649,0.9152892561983471,0.8114285714285714,0.7455268389662028,0.844488188976378,0.7758284600389863,0.8805394990366089,0.8540856031128404,0.8997912317327766,0.890295358649789,0.0,0.0020661157024793875,-0.005714285714285783,-0.017892644135188873,0.007874015748031593,0.023391812865497075,0.025048169556840083,-0.013618677042801619,-0.01670146137787054,-0.016877637130801704
9,0.8471999764442444,0.052381461743707246,0.05756653644502311,0.009799999999999998,421.9272628615999,0.013999991747844007,True,79.07497119903564,0.8648648648648649,0.9152892561983471,0.8114285714285714,0.7455268389662028,0.844488188976378,0.7758284600389863,0.8805394990366089,0.8540856031128404,0.8997912317327766,0.890295358649789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.8471999764442444,0.052381461743707246,0.056011014034628354,0.006859999999999998,421.9276271973981,0.009800000048289792,True,84.74480414390564,0.8648648648648649,0.9152892561983471,0.8114285714285714,0.7455268389662028,0.844488188976378,0.7758284600389863,0.8805394990366089,0.8540856031128404,0.8997912317327766,0.890295358649789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
