Classe,Baseline_Sens(%),After_SS_Sens(%),Delta_Sens(pp),Baseline_Eval(%),After_SS_Eval(%),Delta_Eval(pp)
avion,88.4,86.5,-1.9,89.2,85.9,-3.3
auto,91.5,91.5,+0.0,90.7,92.4,+1.7
oiseau,80.6,81.1,+0.6,81.7,83.2,+1.5
chat,63.8,74.6,+10.7,68.6,76.1,+7.5
cerf,87.4,84.4,-3.0,85.2,81.7,-3.5
chien,70.8,77.6,+6.8,69.0,74.9,+5.9
grenouille,86.7,88.1,+1.3,90.6,89.2,-1.4
cheval,90.1,85.4,-4.7,90.5,84.0,-6.5
bateau,93.1,90.0,-3.1,93.1,90.0,-3.1
camion,89.7,89.0,-0.6,89.5,88.4,-1.1
GLOBAL,84.2,84.7,+0.6,84.8,84.7,-0.1
Std,9.17,5.24,-3.93,8.57,5.52,-3.05
